"subject","test_part","skew","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","eva","evb","evd","sda","sdb","sdd","risk_index","response","rt","cho"
"4xf5xlk2","cs","ns",56,51,44,144,51,123,49,39,91.92,81.84,10.08,46.16398596,41.99159916,4.172386803,1,"j",8707,-1
"4xf5xlk2","cs","control",56,5,44,192,53,196,47,10,87.28,108.58,-21.3,92.82435887,92.83244907,-0.008090196,-1,"f",8186,-1
"4xf5xlk2","cs","ns",67,123,33,39,62,129,38,67,95.28,105.44,-10.16,39.4978683,30.09395953,9.40390877,-1,"f",2984,-1
"4xf5xlk2","cs","lr",19,25,81,110,12,166,88,96,93.85,104.4,-10.55,33.34557692,22.74730753,10.59826939,-1,"f",7389,-1
"4xf5xlk2","sc","lr",8,12,92,70,7,83,93,64,65.36,65.33,0.03,15.73500556,4.847793312,10.88721225,-1,"f",3625,-1
"4xf5xlk2","sc","lr",81,40,19,12,11,54,89,33,34.68,35.31,-0.63,10.98442534,6.570684896,4.413740442,1,"j",5098,-1
"4xf5xlk2","sc","lr",89,107,11,16,90,102,10,148,96.99,106.6,-9.61,28.47296788,13.8,14.67296788,-1,"f",7494,-1
"4xf5xlk2","sc","ns",31,50,69,18,37,11,63,22,27.92,17.93,9.99,14.79978378,5.31084739,9.488936392,1,"f",7720,1
"4xf5xlk2","cs","lr",17,17,83,111,81,100,19,179,95.02,115.01,-19.99,35.30948315,30.99177149,4.317711657,1,"j",6937,-1
"4xf5xlk2","cs","lr",81,56,19,2,87,33,13,51,45.74,35.34,10.4,21.18424887,6.053461819,15.13078705,-1,"f",4816,-1
"4xf5xlk2","cs","control",70,14,30,57,59,64,41,24,26.9,47.6,-20.7,19.70507549,19.6733322,0.031743285,-1,"f",3838,-1
"4xf5xlk2","sc","rl",19,159,81,78,81,86,19,17,93.39,72.89,20.5,31.7763733,27.06876244,4.707610859,1,"f",7991,1
"4xf5xlk2","sc","rl",83,64,17,172,89,91,11,11,82.36,82.2,0.16,40.56834234,25.03118056,15.53716178,1,"j",5995,-1
"4xf5xlk2","sc","control",78,8,22,104,24,120,76,27,29.12,49.32,-20.2,39.76764514,39.7187311,0.048914043,1,"j",4750,-1
"4xf5xlk2","sc","ns",59,5,41,74,45,70,55,21,33.29,43.05,-9.76,33.93649805,24.37719221,9.559305842,1,"j",9746,-1
"4xf5xlk2","sc","lr",13,15,87,71,90,49,10,96,63.72,53.7,10.02,18.83299233,14.1,4.732992327,-1,"f",3804,-1
"4xf5xlk2","sc","ns",40,41,60,11,57,52,43,31,23,42.97,-19.97,14.69693846,10.39659079,4.300347669,-1,"f",2486,-1
"4xf5xlk2","cs","lr",88,83,12,26,7,91,93,54,76.16,56.59,19.57,18.52280756,9.440439608,9.082367954,1,"f",7868,1
"4xf5xlk2","cs","rl",90,22,10,53,92,36,8,17,25.1,34.48,-9.38,9.3,5.154570787,4.145429213,-1,"f",4296,-1
"4xf5xlk2","cs","ns",58,8,42,53,66,2,34,16,26.9,6.76,20.14,22.21013282,6.631922798,15.57821002,1,"f",3480,1
"4xf5xlk2","sc","lr",87,107,13,3,17,157,83,104,93.48,113.01,-19.53,34.97555718,19.90853837,15.06701881,-1,"j",7324,1
"4xf5xlk2","sc","ns",69,157,31,22,68,94,32,194,115.15,126,-10.85,62.43658783,46.64761516,15.78897267,-1,"f",4648,-1
"4xf5xlk2","cs","rl",12,196,88,92,14,26,86,95,104.48,85.34,19.14,33.79599976,23.94210517,9.853894593,1,"f",6703,1
"4xf5xlk2","sc","rl",83,84,17,172,88,88,12,18,98.96,79.6,19.36,33.05568635,22.74730753,10.30837882,1,"f",4259,1
"4xf5xlk2","cs","lr",83,108,17,25,86,106,14,166,93.89,114.4,-20.51,31.17752235,20.81922189,10.35830046,-1,"f",3233,-1
"4xf5xlk2","sc","control",36,113,64,77,56,94,44,129,89.96,109.4,-19.44,17.28,17.3735431,-0.093543104,1,"j",6916,-1
"4xf5xlk2","sc","ns",52,109,48,45,62,116,38,70,78.28,98.52,-20.24,31.97438975,22.32777642,9.646613329,1,"j",4685,-1
"4xf5xlk2","sc","rl",83,22,17,49,91,29,9,8,26.59,27.11,-0.52,10.14208558,6.009816969,4.132268615,1,"f",4952,1
"4xf5xlk2","sc","rl",9,196,91,86,19,30,81,100,95.9,86.7,9.2,31.47999365,27.46106334,4.018930302,1,"f",3496,1
"4xf5xlk2","sc","rl",12,134,88,43,9,12,91,80,53.92,73.88,-19.96,29.57149979,19.46035971,10.11114008,1,"j",11257,-1
"4xf5xlk2","sc","rl",15,183,85,80,8,13,92,92,95.45,85.68,9.77,36.77835641,21.43216275,15.34619366,-1,"j",5151,1
"4xf5xlk2","cs","lr",11,20,89,65,84,46,16,70,60.05,49.84,10.21,14.08003906,8.798545334,5.281493728,1,"j",5801,-1
"4xf5xlk2","cs","ns",51,101,49,22,44,75,56,16,62.29,41.96,20.33,39.49209921,29.2868298,10.20526941,-1,"j",8276,1
"4xf5xlk2","cs","rl",13,177,87,90,95,115,5,53,101.31,111.9,-10.59,29.25839879,13.51258672,15.74581207,1,"j",6100,-1
"4xf5xlk2","sc","lr",91,54,9,4,94,39,6,55,49.5,39.96,9.54,14.30908802,3.799789468,10.50929855,1,"f",10358,1
"4xf5xlk2","sc","lr",84,58,16,11,87,28,13,47,50.48,30.47,20.01,17.23048461,6.389765254,10.84071936,1,"f",5006,1
"4xf5xlk2","sc","control",59,74,41,97,72,110,28,85,83.43,103,-19.57,11.31216602,11.22497216,0.087193857,-1,"f",7807,-1
"4xf5xlk2","cs","ns",63,92,37,44,59,87,41,105,74.24,94.38,-20.14,23.17460679,8.852999492,14.3216073,-1,"f",4067,-1
"4xf5xlk2","cs","control",47,116,53,90,75,130,25,100,102.22,122.5,-20.28,12.9765789,12.99038106,-0.013802155,-1,"f",2490,-1
"4xf5xlk2","sc","rl",90,77,10,188,91,117,9,18,88.1,108.09,-19.99,33.3,28.33199428,4.968005718,-1,"f",8961,-1
"4xf5xlk2","cs","ns",43,67,57,9,46,18,54,47,33.94,33.66,0.28,28.7143936,14.45352552,14.26086808,1,"f",9676,1
"4xf5xlk2","cs","rl",19,116,81,93,6,102,94,119,97.37,117.98,-20.61,9.022920813,4.03727631,4.985644504,1,"j",5963,-1
"4xf5xlk2","sc","lr",19,15,81,52,13,79,87,51,44.97,54.64,-9.67,14.51513348,9.416496164,5.098637318,-1,"f",8241,-1
"4xf5xlk2","cs","rl",87,110,13,182,3,29,97,111,119.36,108.54,10.82,24.21384728,13.98815213,10.22569515,1,"f",3605,1
"4xf5xlk2","sc","ns",53,19,47,59,42,30,58,9,37.8,17.82,19.98,19.96396754,10.36472865,9.599238891,-1,"j",10691,1
"4xf5xlk2","cs","lr",86,102,14,50,5,117,95,83,94.72,84.7,10.02,18.04332564,7.410128204,10.63319743,-1,"f",3511,-1
"4xf5xlk2","sc","control",35,88,65,36,62,94,38,43,54.2,74.62,-20.42,24.80241924,24.75470864,0.047710594,-1,"f",5319,-1
"4xf5xlk2","sc","lr",7,17,93,107,15,144,85,106,100.7,111.7,-11,22.96323148,13.56871401,9.394517466,-1,"f",4841,-1
"4xf5xlk2","sc","rl",14,104,86,36,83,70,17,45,45.52,65.75,-20.23,23.59511814,9.390819985,14.20429815,-1,"f",5146,-1
"4xf5xlk2","cs","ns",53,15,47,74,70,24,30,56,42.73,33.6,9.13,29.44685212,14.66424222,14.7826099,1,"f",7029,1
"4xf5xlk2","cc","rl",17,106,83,49,10,30,90,84,58.69,78.6,-19.91,21.41106957,16.2,5.211069567,-1,"f",16178,-1
"4xf5xlk2","cc","lr",8,3,92,42,81,36,19,51,38.88,38.85,0.03,10.58043477,5.884513574,4.6959212,-1,"j",9826,1
"4xf5xlk2","ss","rl",13,79,87,25,97,33,3,17,32.02,32.52,-0.5,18.16038546,2.729395537,15.43098992,1,"j",6020,-1
"4xf5xlk2","ss","lr",17,14,83,73,81,44,19,89,62.97,52.55,10.42,22.16233517,17.65354072,4.508794444,1,"f",4347,1
"4xf5xlk2","cc","control",33,76,67,30,64,49,36,94,45.18,65.2,-20.02,21.62978502,21.6,0.02978502,-1,"f",12892,-1
"4xf5xlk2","cc","control",60,53,40,18,76,9,24,49,39,18.6,20.4,17.1464282,17.0833252,0.063102996,1,"f",9374,1
"4xf5xlk2","ss","lr",19,10,81,91,90,70,10,126,75.61,75.6,0.01,31.7763733,16.8,14.9763733,-1,"f",3178,-1
"4xf5xlk2","ss","control",59,129,41,60,41,40,59,109,100.71,80.71,20,33.93649805,33.93649805,0,1,"f",2755,1
"4xf5xlk2","cc","rl",87,75,13,186,14,7,86,103,89.43,89.56,-0.13,37.32968122,33.31075502,4.0189262,-1,"f",6807,-1
"4xf5xlk2","ss","ns",45,45,55,142,33,157,67,85,98.35,108.76,-10.41,48.2568907,33.85531568,14.40157502,-1,"f",7877,-1
"4xf5xlk2","ss","rl",17,52,83,31,97,35,3,13,34.57,34.34,0.23,7.888288788,3.752918864,4.135369924,-1,"j",5158,1
"4xf5xlk2","ss","control",48,25,52,109,65,18,35,106,68.68,48.8,19.88,41.96638655,41.97332486,-0.006938313,1,"f",4263,1
"4xf5xlk2","ss","ns",59,17,41,63,56,27,44,2,35.86,16,19.86,22.62433203,12.40967365,10.21465839,1,"f",3176,1
"4xf5xlk2","cc","lr",82,117,18,65,81,103,19,127,107.64,107.56,0.08,19.97774762,9.415221718,10.5625259,-1,"f",7284,-1
"4xf5xlk2","cc","control",64,78,36,148,78,66,22,147,103.2,83.82,19.38,33.6,33.55395059,0.046049413,1,"f",10315,1
"4xf5xlk2","ss","ns",55,75,45,17,31,11,69,52,48.9,39.29,9.61,28.85463568,18.96222297,9.892412705,1,"f",3852,1
"4xf5xlk2","ss","rl",83,40,17,133,7,6,93,81,55.81,75.75,-19.94,34.93385035,19.13602623,15.79782411,-1,"f",3206,-1
"4xf5xlk2","ss","rl",19,179,81,96,6,5,94,98,111.77,92.42,19.35,32.56097511,22.08627628,10.47469883,1,"j",7166,-1
"4xf5xlk2","cc","rl",90,48,10,131,97,68,3,5,56.3,66.11,-9.81,24.9,10.74699493,14.15300507,1,"j",7368,-1
"4xf5xlk2","cc","rl",81,110,19,158,12,86,88,112,119.12,108.88,10.24,18.83044344,8.448999941,10.3814435,1,"f",7102,1
"4xf5xlk2","cc","control",66,74,34,36,62,55,38,18,61.08,40.94,20.14,18.00093331,17.95929843,0.041634882,-1,"j",9313,1
